id,name,HP,attack,defense,sp. attack,sp. defense,speed,species,description,height,weight,gender,thumbnail,type_fire,type_water,type_electric,type_grass,type_ice,type_fighting,type_poison,type_ground,type_flying,type_psychic,type_bug,type_rock,type_ghost,type_dragon,type_dark,type_steel,type_fairy
1,"Bulbasaur",45,49,49,65,65,45,"Seed Pokémon","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.","0.7 m","6.9 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/001.png",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,"Ivysaur",60,62,63,80,80,60,"Seed Pokémon","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.","1 m","13 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/002.png",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3,"Venusaur",80,82,83,100,100,80,"Seed Pokémon","There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.","2 m","100 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/003.png",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,"Charmander",39,52,43,60,50,65,"Lizard Pokémon","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","0.6 m","8.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/004.png",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Charmeleon",58,64,58,80,65,80,"Flame Pokémon","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","1.1 m","19 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/005.png",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Charizard",78,84,78,109,85,100,"Flame Pokémon","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","1.7 m","90.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/006.png",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,"Squirtle",44,48,65,50,64,43,"Tiny Turtle Pokémon","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","0.5 m","9 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/007.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Wartortle",59,63,80,65,80,58,"Turtle Pokémon","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.","1 m","22.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/008.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Blastoise",79,83,100,85,105,78,"Shellfish Pokémon","Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.","1.6 m","85.5 kg","87.5:12.5","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/009.png",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Caterpie",45,30,35,20,20,45,"Worm Pokémon","Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food.","0.3 m","2.9 kg","50:50","https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/010.png",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
